name,SMILES
"2,6-difluorobenzenesulfonamide",C1=CC(=C(C(=C1)F)S(=O)(=O)N)F
2-chlorothiazole-4-carboxylic acid,C1=C(N=C(S1)Cl)C(=O)O
"2,5-thiophenedicarboxylic acid",C1=C(SC(=C1)C(=O)O)C(=O)O
phenylalanine,C1=CC=C(C=C1)C[C@@H](C(=O)O)N
phenylphosphonic acid,C1=CC=C(C=C1)P(=O)(O)O
"furan-2,5-dicarboxylic acid",C1=C(OC(=C1)C(=O)O)C(=O)O
l-glutathione,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N
l-Theanine,CCNC(=O)CC[C@@H](C(=O)O)N
Malonamide,C(C(=O)N)C(=O)N
5-(Fmoc-amino) valeric acid,C1=CC=C2C(=C1)C(C3=CC=CC=C32)COC(=O)NCCCCC(=O)O
