name,SMILES,categorical,PCE_pristine(%),PCE_passivated(%),ΔPCE（%）,perovskite_type,DOI,article,
benzamide ,C1=CC=C(C=C1)C(=O)N,nip,19.16,20.12,0.96,Cs0.025FA0.825MA0.15Pb(I0.85Br0.15)3,DOI: 10.1016/j.cej.2020.127204,Tailoring Multifunctional Passivation Molecules with Halogen Functional Groups for Efficient and Stable Perovskite Photovoltaics,
4-fluorobenzamide,C1=CC(=CC=C1C(=O)N)F,nip,19.16,21.35,2.19,Cs0.025FA0.825MA0.15Pb(I0.85Br0.15)3,DOI: 10.1016/j.cej.2020.127204,Tailoring Multifunctional Passivation Molecules with Halogen Functional Groups for Efficient and Stable Perovskite Photovoltaics,
4-chlorobenzamide,C1=CC(=CC=C1C(=O)N)Cl,nip,19.16,20.95,1.79,Cs0.025FA0.825MA0.15Pb(I0.85Br0.15)3,DOI: 10.1016/j.cej.2020.127204,Tailoring Multifunctional Passivation Molecules with Halogen Functional Groups for Efficient and Stable Perovskite Photovoltaics,
"3,4-Bis(4-bromophenyl)cyclobut-3-ene-1,2-dione",C1=CC(=CC=C1C2=C(C(=O)C2=O)C3=CC=C(C=C3)Br)Br,nip,21.44,23.82,2.38,Cs0.05FA0.95MA0.05PbI3,DOI: 10.1021/acsenergylett.2c01537,Resonant Molecular Modification for Energy Level Alignment in Perovskite Solar Cells,
"2,7-dioctyl[1]benzothieno[3,2-b][1]benzothiophene",CCCCCCCCC1=CC2=C(C=C1)C3=C(S2)C4=C(S3)C=C(C=C4)CCCCCCCC,nip,19.17,21.94,2.77,(FAPbI3)0.875(MAPbBr3)0.075(CsPbI3)0.05(PbI2)0.03,DOI: 10.1021/acsenergylett.1c01898,Interfacial Defect Passivation and Charge Carrier Management for Efficient Perovskite Solar Cells via a Highly Crystalline Small Molecule,
"4,4′-carbonyldiphthalic anhydride",C1=CC2=C(C=C1C(=O)C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,nip,19.58,21.88,2.3,(FAPbI3)0.95(MAPbBr3)0.05,DOI: 10.1021/acsenergylett.1c01465,All-in-One Lewis Base for Enhanced Precursor and Device Stability in Highly Efficient Perovskite Solar Cells,
"4,4′(Hexafluoroisopropylidene)diphthalic anhydride",C1=CC2=C(C=C1C(C3=CC4=C(C=C3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)C(=O)OC2=O,nip,19.58,22.43,2.85,(FAPbI3)0.95(MAPbBr3)0.05,DOI: 10.1021/acsenergylett.1c01465,All-in-One Lewis Base for Enhanced Precursor and Device Stability in Highly Efficient Perovskite Solar Cells,
barbituric acid,C1C(=O)NC(=O)NC1=O,nip,21.59,22.79,1.2,FA0.97Cs0.03PbI3,DOI: 10.1002/solr.202200512,Modulating Chemical Interaction to Realize Bottom-Up Defect Passivation for Efficient and Stable Perovskite Solar Cells,
propanedioic acid,C(C(=O)O)C(=O)O,nip,21.59,22.61,1.02,FA0.97Cs0.03PbI3,DOI: 10.1002/solr.202200512,Modulating Chemical Interaction to Realize Bottom-Up Defect Passivation for Efficient and Stable Perovskite Solar Cells,
urea,C(=O)(N)N,nip,21.59,22.33,0.74,FA0.97Cs0.03PbI3,DOI: 10.1002/solr.202200512,Modulating Chemical Interaction to Realize Bottom-Up Defect Passivation for Efficient and Stable Perovskite Solar Cells,
phenylethylammonium iodidePEAI,C1=CC=C(C=C1)CC[NH3+].[I-],nip,20.71,21.84,1.13,FA0.71MA0.29Pb(I0.96Br0.04)3,DOI: 10.1002/solr.202100805,High-Efficiency and Stable Perovskite Solar Cells Enabled by Low-Dimensional Perovskite Surface Modifiers,
