name,SMILES,MinPartialCharge,MaxAbsPartialCharge,StdPartialCharge,ChargeRange,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,FormalCharge,Complexity,LogP,MolarRefractivity,RingCount,AromaticRing,HeteroRing,FSP3,delta_PCE
1-adamantane carboxylic acid,C1C2CC3CC1CC(C2)(C3)C(=O)O,-0.480821322,0.480821322,0.168734007,0.78998061,-0.480821322,0.846153846,5.106527395,5.969305288,0,1,1,180.247,37.3,1,1,1,13,0,213.4797126,2.2874,48.2408,4,0,0,0.909090909,1.41
1-adamantaneacetic acid,C1C2CC3CC1CC(C2)(C3)CC(=O)O,-0.481215172,0.481215172,0.160978662,0.784621177,-0.481215172,0.857142857,5.106527395,5.969305288,0,1,1,194.274,37.3,1,1,2,14,0,225.9276631,2.6775,52.8578,4,0,0,0.916666667,2.06
"2,2-difluoropropanediamide",C(=O)(C(C(=O)N)(F)F)N,-0.363943925,0.399704651,0.292105873,0.763648576,-0.363943925,0.666666667,11.46733495,5.922529168,0,2,1,138.073,86.18,2,2,2,9,0,122.1173001,-1.4077,23.3358,0,0,0,0.333333333,2.21
triphenylphosphine oxide,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,-0.308634799,0.308634799,0.081014199,0.479146736,-0.308634799,0.8,4.565048285,0,0,0,0,278.291,17.07,0,1,3,20,0,606.3410077,3.326,85.8345,3,3,0,0,1.05
tetraisopropyl methylenediphosphonate,CC(C)OP(=O)(CP(=O)(OC(C)C)OC(C)C)OC(C)C,-0.305364429,0.342748367,0.188767916,0.648112796,-0.305364429,0.666666667,18.09498865,15.19152465,0,0,0,344.325,71.06,0,6,10,21,0,301.4995491,5.0301,84.964,0,0,0,1,1.08
tris(pentafluorophenyl) phosphine,C1(=C(C(=C(C(=C1F)F)P(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F)F)F)F,-0.202788909,0.202788909,0.184239844,0.402857853,0,0.441176471,0,0,0,0,0,532.142,0,0,0,3,34,0,1075.36312,5.5313,84.518,3,3,0,0,2.99
"1,2,4‐triazole",C1=NC=NN1,-0.266136747,0.266136747,0.170553163,0.403134002,-0.266136747,0.6,0,0,2,0,1,69.067,41.57,1,2,0,5,0,56.51517764,-0.1953,16.3827,1,1,1,0,2
N-(4-bromophenyl)thiourea,C1=CC(=CC=C1NC(=S)N)Br,-0.376047653,0.376047653,0.148789653,0.543676566,-0.376047653,0.727272727,11.05045608,0,2,0,1,231.118,38.05,2,1,1,11,0,241.2457498,2.1046,54.5501,1,1,0,0,2.4
morpholine,C1COCCN1,-0.378812514,0.378812514,0.182980279,0.437920586,-0.378812514,0.333333333,10.05365156,0,1,0,1,87.122,21.26,1,2,0,6,0,15.509775,-0.3938,23.6887,1,0,1,1,0.7
"3,5-morpholone(Morpholine-3,5-dione)",C1C(=O)NC(=O)CO1,-0.361801852,0.361801852,0.249779125,0.613930573,-0.361801852,0.5,4.736862954,0,0,2,1,115.088,55.4,1,3,0,8,0,106,-1.3406,23.9687,1,0,1,0.5,1.96
