Compound_CID,SMILES
162001859,CC1=NC2=C(C=NC=C2)C(=O)N1C3=CC=CC=C3.CC1=NC2=C(C=NC=C2)C(=O)O1.CC(=O)OC(=O)C.COC1=CC=CC(=C1O)/C=C/C2=NC3=C(C=NC=C3)C(=O)N2C4=CC=CC=C4.COC1=CC=CC(=C1O)C=O.C1=CC=C(C=C1)N.C1=CN=CC(=C1N)C(=O)O
135169014,CC[C@H](C1=CC(=CC=C1)OC(F)(F)F)NC(=O)N2[C@@H](C(C2=O)CC3=CC(=NC=C3)N)C(=O)N(C)C4=CC=NC=C4
81318034,CC(C)CCNC(=O)COC(=O)C1=NC=C(C=C1)N
110073154,CC(C)C[C@H]1COC2=CC=CC=C2CCCCC3(CCN(CC3)C(=O)C4=NC(=CC=C4)N)C(=O)N1
167655755,CCOC(=O)C1=CN=C2C=CC(=CC2=C1Cl)C.C1=CC(=C(N=C1)N)C(=O)O.C1=CN2C(=NC3=C4C=C(C=CC4=NC=C3C2=O)OC(F)(F)F)C(=C1)C(=O)O
122242476,CC(C#CC1=NC=C(C=C1)N)O
18506856,C1=CC(=NC=C1C#CCO)N
177671377,C1CCN(CC[C@@H]([C@@H](COC2=CC=CC=C2C1)O)O)C(=O)C3=CN=C(C=C3)N
138459224,C1=CC(=NC(=C1)N)C2=NN=CN2CCCCOC3=C(C=C(C=C3)C(F)(F)F)C(=O)O
24745952,C1=CC(=CC=C1C2=[N+](C=CC(=C2N)C(=O)C3=C(C=C(C=C3)F)F)[O-])Cl
121428010,C1CN(CCC1(C(F)(F)F)O)C(=O)C2=CC=C(C=C2)C3=CC(=C4C(=C3)C=C(S4)CNC(=O)/C=C/C5=CN=C(C=C5)N)C(F)(F)F
62183381,C1CN(CC(=O)N1)CC2=CN=C(C=C2)N
145932850,CC(=O)N1[C@@H]2CC3=CC(=C(C=C3)OC)OCCCCN(CC[C@@H]2C4=CC=CC=C41)C(=O)C5=CN=C(C=C5)N
91778318,C1CCC(CC1)(CC(=O)O)NC(=O)C2=CN=C(C=C2)N
17750222,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(C=C2)NC(=O)OC(C)(C)C
11536733,CN1CCCN(CC1)C2=NC(=CN=C2N)C3=CC(=NC=C3)N
81691640,CCC(CNC(=O)C1=NC=C(C=C1)N)C(=O)O
169747869,C1=CC(=CC=C1C2=NOC(=N2)C(F)(F)F)C(=O)C[N+]3=CC=C(C=C3)N.[Br-]
69128535,CC(C)(C)C1=NN(C(=C1)NC(=O)NC2=C(C=C(C=C2)OC3=CC(=NC=C3)N)F)C4=CC=C(C=C4)SC(F)(F)F
143382781,CC1=CC=C(C=C1)C(CNC(=O)C(F)(F)F)C2CCN(CC2)C(=O)C3CCN(CC3)CC4=CC(=NC=C4)N
68416717,CC1=C(C=C(C=C1)OC2=NC=C(C=C2)N)NC(=O)C3=CC(=CC=C3)C(C)(C)C#N
56747224,C1COC2=C(CN1C(=O)C3=CN=C(C=C3)N)C=C(C=C2O)C4=CC(=CC=C4)Cl
81694759,CCCC(CCC(=O)O)CCNC(=O)C1=NC=C(C=C1)N
515751,CC(C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C[C@@H]([C@H](CC2=CC=CC=C2)NC(=O)OCC3=CN=CC=C3)O)NC(=O)N(C)CC4=NC=C(C=C4)N
28318645,C1CN(CCC1C(=O)N)C2=C(C=NC=C2)N
18176337,C1=CC(=C(N=C1)I)N
69087304,CC[C@@H](C(=O)OC(C)(C)C)NC(=O)C1=C(C=NC=C1)N
174709231,CC(C)(C)OC=O.C1=C(C=NC=C1N)C#N
161440975,CCC1(CCCCN(C1)C)C2=CC(=CC=C2)O.CCC1(CCCCN(C1)C)C2=CC(=CC=C2)OC(=O)NC3=NC=C(C=C3)C(=O)O.CCC1(CCCCN(C1)C)C2=CC(=CC=C2)OC(=O)NC3=NC=C(C=C3)C(=O)OCC4=CC=CC=C4.C1=CC=C(C=C1)COC(=O)C2=CN=C(C=C2)N.C1=CC=C(C=C1)COC(=O)C2=CN=C(C=C2)N=C=O.C1=CC(=NC=C1C(=O)O)N.Cl.Cl
167786701,CC(CF)C(=O)NCC1(CCCN(C1)C(=O)C2=CC(=CN=C2)N)O
141283472,C1CC(C(=O)C2=C(C1)N=CS2)C(=O)C3=CN=C(C=C3)N
101545006,COC1=CC=C(C=C1)C(=O)[N+]2=CC=C(C=C2)N
66069607,CC1(C(=O)NC(=O)CN1C(=O)C2=NC=CC(=C2)N)C
139580683,CN(C1=CC(=CC=C1)OC)C(=O)[C@@H]2[C@H](C(=O)N2C(=O)NC(C3CCCCC3)C(F)(F)F)CC4=CC(=NC=C4)N
145627933,CC.COC(=O)C1=CC(=CN=C1)N
176268172,C1=CC=C(C=C1)C2=NC3=C(C=C2)N=C(N3C4=CC=C(C=C4)CNC(=O)C5=C(C(=CC=C5)C(=O)O)O)C6=C(N=CC=C6)N
71558640,C1=CC2=C(C=C1C3=C(C=NC=C3)N)N(C(=O)C4=C2NN=C4)CC(F)(F)F
86636266,CC(C)(C)OC(=O)NCC1=C(C=C(C=C1)NC2=NC(=NC=C2Cl)Cl)/C=C/C3=CC(=CN=C3)N
81317289,C1C(C2=CC=CC=C2S1)COC(=O)C3=NC=C(C=C3)N
11649982,C1CN(CCN1C(=O)C2=C[N+](=CC=C2)N)C(=O)C3=C[N+](=CC=C3)N
18530774,COC1=CC=C(C=C1)C(=O)/C=C/[N+]2=CC=CC=C2N.[Cl-]
158118676,[C-]#[N+]CC(=O)C1=CC(=CC=C1)F.C1=CC(=CC(=C1)F)C2=C(C=C3C=NC=CC3=N2)C#N.C1=CN=CC(=C1N)C=O
169504482,CC(=O)SCC#CC1=C(N=CC(=C1)C(=O)O)N
86621323,C1C2CC3CN(C2)CC1C3OC4=CN=C(C=C4)N
157012599,C1CC2(CCCN2C(=O)C3=CN=C(C=C3)N)C(=O)N(C1)CC4=CC=CC=C4
118664109,C1=CC(=NC(=C1)N2C3=C(C=CC(=C3)C4=CC(=CN=C4)N)C=N2)C(=O)NCCO
44370698,C1=C[NH+]=C(C=C1N)NCCCCCCCCCCNC2=[NH+]C=CC(=C2)N
57600791,C[C@@H](C1=C(N=C(O1)C2=C3C=CC(=NC3=C(C=C2)OC)C(F)(F)F)C(=O)N4CCN(CC4)C5=C(C=CC=N5)N)N
44468926,CCN1CCC[C@@H]1C(=O)N[C@@H](CC2=CC(=C(C=C2)F)F)C(=O)NCC3=CN=C(C=C3)N
175570844,C1=CC(=NC=C1N)C(=O)O.C1=CC(=NC=C1N)N(C=O)[C@@H](CCC2=NN=NN2CCC#N)C(=O)O
161794784,[2H]CF.CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3Cl)N[C@@H]4CCC[C@@H](C4)N.CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3Cl)N[C@@H]4CCC[C@@H](C4)NC(=O)C5=NC=C(C=C5)N.C1=CC(=NC=C1N)C(=O)O.Cl
70849427,C[C@@H]1[C@H]2CSC(=N[C@]2(CCO1)C3=C(C=CC(=C3)NC(=O)C4=NC=C(C=C4)N)F)N
10975966,C1=CN=CC(=C1N)S(=O)(=O)N
159097567,CCOC(=O)C1=C[N+](=CC=C1)N.CC1=CC(=CC(=C1)C)C
162373642,CCP(=O)(CC)C1=CN=C(C=C1)N
121506835,C1CC(=O)N(C1)CCCNC(=O)C2=CC=C(C=C2)C3=C(C=CN=C3)N
130203101,C[C@@H]1CC[C@@H](N1C2=C(C=CC(=N2)C3=CN=C(C=C3)OC(F)F)C(=O)NS(=O)(=O)C4=CC=CC(=N4)N)C
105622679,C1CCC2(CCN(CC2C1)C3=NC=C(C(=C3)C(=O)N)N)O
140901209,C1CN(CCC1(F)F)C(=O)C2=CC=C(C=C2)C3=CC(=CC(=C3)OCCCNC(=O)[C@@H]4CC4C5=CN=C(C=C5)N)C(F)(F)F
25586817,CC1=CC(=C(C=C1)OC)NC(=O)[C@H](C2=CC=CC=C2)OC(=O)C3=C(N=CC=C3)N
67963175,C1[C@H]2CSC(=N[C@]2(CO[C@H]1C(F)(F)F)C3=C(C=CC(=C3)NC(=O)C4=NC=C(C=C4)N)F)N
137144340,C1=CC=C(C(=C1)/C=N/C2=CC=CC(=N2)N)O
170994400,CC(=CCOC(=O)C1=CN=C(C=C1)N)C
10043358,CC(C)N1C=C(C2=CC=CC=C21)CN(C)C(=O)/C=C/C3=CN=C(C=C3)N
79078573,C1CC2COC(CN2C1)CNS(=O)(=O)C3=C(N=CC=C3)N
157983434,CC1(CC2=C(C1)N=C(N=C2NC3=C(C=NC=C3)C(=O)N)C4=C(C=CC(=C4)Cl)F)C.CC1(CC2=C(C1)N=C(N=C2NC3=C(C=NC=C3)C(=O)O)C4=C(C=CC(=C4)Cl)F)C.CC1(CC2=C(C1)N=C(N=C2NC3=C(C=NC=C3)C(=O)OC)C4=C(C=CC(=C4)Cl)F)C.CC1(CC2=C(C1)N=C(N=C2I)C3=C(C=CC(=C3)Cl)F)C.COC(=O)C1=C(C=CN=C1)N
134010,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)NC3=CC=CC(=N3)N)NC(=O)N2
72883252,C1CN(CCC1OCC2=CN=CC=C2)C(C3=CN=C(C=C3)N)C(=O)O
117816452,CC(C)NC1=NC(=NC(=C1)NC2=CN=CC(=C2)C(F)(F)F)C3=NC(=CC=C3)N
104347488,COC(=O)NC1CCN(C1)C(=O)C2=NC=C(C=C2)N
133109556,C1[C@@H]([C@H](CN1C(=O)C2=CN=C(C=C2)N)C(=O)O)C3=CC=C(C=C3)F
70755412,C1CCN(CC1)C[C@@H]2CN(C[C@@H]2CO)CC3=C(N=CC=C3)N
158813293,C.COC(=O)C1=CN=C(C=C1)N.COC(=O)C1=CN=C(C=C1)NC(=O)C(CC2CCCCC2)N3C=NC4=C(C3=O)C=CC(=C4)S(=O)(=O)C5CCCC5.C1CCC(CC1)CC(C(=O)O)N2C=NC3=C(C2=O)C=CC(=C3)S(=O)(=O)C4CCCC4
170830691,CC(=O)NCC(C(C1=C(N=CC(=C1)C(=O)OC)N)O)O
101630738,CCCCN=C(C)C(=NNC1=CC=C(C=C1)C(=O)OCC)C(=O)NC2=C[N+](=CC=C2)N
158904283,C1=C(C=NC=C1N)C#N.C1=C(C=NC=C1N)C#N
167867846,CC1=C(C(=CC=C1)C)CC(=O)N2CCN(CC2)C(=O)C3=CC(=NC=C3)N
86763569,C1CC(CCC1OC2=CC=C(C=C2)C3=CC(=C4C(=C3)C=C(O4)CNC(=O)/C=C/C5=CN=C(C=C5)N)C6=CC=C(C=C6)F)(F)F
89523092,COC1=CC(=C(C=C1)CNS(=O)(=O)C2=CC=CC=C2C3(NC(=C(C=N3)Cl)SC4=C(C=C(C=C4)C(F)(F)F)C5=CC(=NC=C5)N)F)OC
118274538,CC1(OCC(CO1)N2C=C(C3=CN=CN=C32)C(=O)C4=CC(=NC=C4)N)C
5825332,COC1=CC=C(C=C1)C(=O)/C=C/[N+]2=CC=CC=C2N
72899049,CCCC1=NOC(=N1)CN(C)C(C2=CN=C(C=C2)N)C(=O)O
81318033,CC(C)N1CCOC(C1)COC(=O)C2=NC=C(C=C2)N
21618948,C1=CC(=NC=C1N)CN
139452021,CC1(COCCN1C(=O)C2=CN=C(C=C2)C3=CC(=C4C(=C3)C=C(O4)CNC(=O)CCC5=CN=C(C=C5)N)C(F)(F)F)C
171797434,CC1CN(CCN1[C@H](C2=CC=CC=C2)C3=CN=CC(=C3)C#N)C(=O)C4=CC(=CN=C4)N
68419277,CC(C)(C#N)C1=CC=CC(=C1)C(=O)NC2=CC(=C(C=C2F)Cl)OC3=NC=C(C=C3)N
