N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,coord_types,MolecularWeight,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,LogP,RingCount,HeteroRing,FSP3,delta_PCE
-0.333558358,0.75,10.63357721,6.031114512,0,1,172.272,2,1,0,1.8826,0,0,0.888888889,0.9
-0.313849907,0.555555556,4.983978521,5.689743398,0,0,126.115,2,2,0,-0.62838,1,1,0.2,1.68
-0.481195255,0.571428571,10.84019487,5.969305288,1,2,217.006,2,2,2,0.0378,0,0,0.666666667,1.9
-0.324614,0.6,9.786823206,7.595762327,0,0,96.022,2,1,0,-0.2061,0,0,1,1.57
-0.22288152,0.714285714,0,0,8,1,230.282,0,8,3,-0.467,2,2,0.5,2.77
-0.192437041,0.666666667,0,0,1,1,182.02,0,1,0,2.32078,1,0,0,2.19
-0.480077679,0.470588235,10.84019487,5.969305288,1,2,255.142,2,2,3,1.3365,1,0,0.222222222,2.14
-0.199251344,0.692307692,0,0,0,0,195.243,0,2,1,1.588,2,1,0.222222222,2.39
-0.313497642,0.583333333,4.983978521,11.86604192,0,0,180.085,2,2,0,0.082,1,1,0.2,1
-0.432028447,0.6,9.473725908,5.969305288,0,1,282.336,0,5,0,2.3949,5,4,0.933333333,1.57
-0.481218929,0.592592593,19.31711626,11.93861058,0,1,384.425,1,7,4,2.6024,5,4,0.894736842,1.48
-0.367604464,0.65,14.5802533,0,0,0,284.352,1,5,0,2.1867,5,4,1,-0.06
-0.481433475,0.5,5.106527395,0,0,1,60.052,1,1,0,0.0909,0,0,0.5,1.76
-0.264736971,0.666666667,0,0,1,1,79.102,0,1,0,1.0816,1,1,0,-0.89
-0.25462112,0.666666667,0,0,2,1,156.188,0,2,1,2.1436,2,2,0,1.44
-0.25462064,0.666666667,0,0,3,1,233.274,0,3,2,3.2056,3,3,0,1.1
-0.298949373,0.833333333,0,0,4,1,256.334,2,3,3,3.6719,2,0,0,2.71
-0.48029713,0.6,10.84019487,5.969305288,1,2,75.067,2,2,1,-0.9703,0,0,0.5,2.07
-0.477639241,0.7,5.106527395,5.969305288,0,1,156.568,1,1,1,2.0382,1,0,0,1.99
-0.460101417,0.5,9.843390349,5.969305288,0,1,116.116,1,3,3,-0.2921,0,0,0.4,3.6
-0.496768215,0.666666667,9.843390349,5.969305288,0,1,166.176,1,2,3,1.3223,1,0,0.222222222,1.35
-0.348825792,0.5,4.983978521,0,1,1,82.106,1,1,0,0.71812,1,1,0.25,1.97
-0.288141672,0.666666667,0,0,0,1,390.354,2,4,0,3.5044,7,2,0,2.72
-0.337914116,0.684210526,4.983978521,0,1,1,274.301,2,3,2,2.4766,3,1,0,2.89
-0.294512186,0.5625,0,0,0,1,215.208,0,3,2,1.3186,2,1,0.083333333,2.94
-0.398726079,0.75,5.733667477,0,1,1,111.119,1,1,0,1.4079,1,0,0,2.63
-0.387524803,0.666666667,11.46733495,0,2,1,120.202,2,2,0,-0.4414,0,0,0,2.48
-0.507966219,0.666666667,5.106527395,0,0,1,122.123,1,2,1,1.2047,1,0,0,2.05
-0.480086286,0.55,26.58029947,11.93861058,1,2,307.328,6,6,9,-2.2061,0,0,0.6,2.19
-0.19797459,0.777777778,0,0,1,1,117.151,0,1,1,1.75268,1,0,0.125,3.08
-0.197974588,0.846153846,0,0,1,1,167.211,0,1,1,2.90588,2,0,0.083333333,2.21
-0.310505919,0.761904762,4.899909731,0,1,2,273.335,0,2,4,4.9689,3,0,0,2.43
-0.297896406,0.857142857,0,0,0,1,182.222,0,1,2,3.1661,2,0,0,2.08
-0.294512201,0.866666667,0,0,0,1,196.249,0,1,2,3.5562,2,0,0.071428571,1.7
-0.398727713,0.727272727,5.733667477,0,1,1,173.193,2,3,1,0.5155,1,0,0,2.6
-0.215929171,0.8,0,0,0,0,96.111,2,2,0,-1.8514,0,0,0,2.33
-0.481175383,0.555555556,15.94672227,11.93861058,1,2,133.103,3,3,3,-1.127,0,0,0.5,2.24
0,0.857142857,0,0,0,0,324.495,0,3,3,6.8721,4,3,0,2.9
-0.237185926,0.714285714,0,31.06324331,1,1,358.241,0,5,3,1.5872,1,1,0.285714286,2.13
-0.541547015,0.583333333,9.901064579,62.7640217,1,2,195.175,2,5,1,-6.1743,1,1,0,2.03
-0.545466972,0.833333333,9.901064579,51.38453491,0,1,186.251,0,2,2,-2.5463,1,0,0,3.04
-0.481175383,0.555555556,15.94672227,11.93861058,1,2,133.103,3,3,3,-1.127,0,0,0.5,2.1
-0.477541297,0.5,10.21305479,11.93861058,0,1,238.092,2,2,2,1.6394,1,0,0,2.24
-0.461883828,0.555555556,4.736862954,5.969305288,1,2,125.127,0,3,2,0.62928,0,0,0.333333333,2.82
-0.224625316,0.583333333,0,0,0,0,193.174,1,2,1,0.6122,1,0,0,2.33
-0.224440964,0.666666667,0,0,0,0,193.174,1,2,1,0.6122,1,0,0,1.36
-0.476486705,0.555555556,5.106527395,5.969305288,1,2,163.585,1,3,1,1.4947,1,1,0,2.72
-0.477049577,0.636363636,10.21305479,11.93861058,0,1,172.161,2,3,2,1.1445,1,1,0,2.89
-0.4800777,0.833333333,10.84019487,5.969305288,1,2,165.192,2,2,3,0.641,1,0,0.222222222,2.88
-0.321039149,0.8,9.786823206,7.595762327,0,0,158.093,2,1,1,0.4896,1,0,0,3.07
-0.475372895,0.636363636,14.63020573,11.93861058,0,1,156.093,2,3,2,0.676,1,1,0,2.6
-0.480086286,0.55,26.58029947,11.93861058,1,2,307.328,6,6,9,-2.2061,0,0,0.6,2.19
-0.480086286,0.583333333,16.15698348,5.969305288,1,2,174.2,3,3,5,-0.6854,0,0,0.714285714,2.29
-0.369231444,0.571428571,11.46733495,0,0,1,102.093,2,2,2,-1.6529,0,0,0.333333333,3.25
-0.481230383,0.76,15.16017895,12.06254536,0,1,339.391,2,3,7,3.78,3,0,0.3,2.16
