Dipole_Debye,Polarizability_au,HOMO_eV,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,coord_types,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,LogP,RingCount,HeteroRing,FSP3,delta_PCE
3.744,210.159755,-10.9407,-0.284820806,0.7,0,0,0,0,0,2,2,4.1416,3,0,0,2.38
0.078,368.231787,-9.9325,0,0.8125,0,0,0,0,0,2,14,11.0752,4,2,0.533333333,2.77
4.775,196.674398,-11.8217,-0.385656692,0.541666667,9.473725908,23.87722115,0,1,0,7,2,1.5388,4,2,0,2.3
5.884,225.626681,-12.6219,-0.385656842,0.64516129,9.473725908,36.22981819,0,1,0,6,2,3.7185,4,2,0.157894737,2.85
0.117,70.033015,-11.7949,-0.277316161,0.555555556,0,6.031114512,0,1,2,3,0,-1.2575,1,1,0.25,1.2
1.269,52.804254,-11.9328,-0.480805908,0.571428571,10.21305479,11.93861058,0,1,2,2,2,-0.4543,0,0,0.333333333,1.02
4.669,36.431265,-10.9368,-0.35184624,0.75,11.46733495,6.031114512,0,1,2,1,0,-0.9762,0,0,0,0.74
18.519,127.641597,-2.9734,-0.357285074,0.8,29.7103076,0,1,1,1,0,2,-2.525,1,0,0.25,1.13
4.5385,111.461217,-2.7378,-0.357560702,0.916666667,29.7103076,0,1,1,1,0,4,-1.7448,1,0,0.4,0.39
24.134,180.790981,-3.1906,-0.330461792,1,5.733667477,0,1,1,1,1,3,2.1959,1,0,0.333333333,1.86
2.305,50.839193,-11.3947,-0.388490606,0.5,10.21305479,0,0,1,2,3,2,-1.4599,0,0,0.666666667,3.05
4.5385,111.461217,-10.5666,-0.333351019,0.333333333,16.89006402,0,1,1,0,0,0,-2.6736,0,0,1,2
7.544,212.445281,-10.6925,-0.329926767,0.375,16.89006402,0,1,1,0,0,2,-2.0646,0,0,1,0.6
7.204,170.133096,-10.9249,-0.39051529,0.375,21.99659141,0,1,1,1,1,2,-3.3111,0,0,1,1
14.673,135.682145,-6.153,-0.327164983,0.583333333,16.89006402,0,1,1,0,0,2,-1.1032,1,0,0.4,0.5
4.144,63.659136,-11.5755,-0.278511959,0.5,0,0,0,1,1,3,0,-0.4754,1,1,0.5,2.24
5.192,106.450066,-10.0119,-0.361174887,0.6,4.983978521,0,0,0,1,0,0,2.8213,2,1,0,1.89
0.894,98.003984,-10.1039,-0.480048071,0.666666667,10.84019487,5.969305288,1,2,3,3,2,0.1067,0,0,0.8,1.65
3.722,175.632321,-9.7644,-0.252560258,0.733333333,0,0,2,1,1,4,2,3.6915,2,1,0.363636364,1.26
5.649,169.645784,-10.6703,-0.376667636,0.333333333,28.42117772,0,0,0,0,6,0,0.0996,1,1,1,2.53
3.319,247.297461,-10.0167,-0.487297493,0.538461538,28.42117772,0,0,0,0,6,0,2.9488,3,1,0.4,3.84
5.398,43.131084,-12.3754,-0.36184104,0.714285714,5.733667477,12.08347825,0,1,1,1,0,0.034,0,0,0.5,1.85
8.286,199.300865,-9.9867,-0.505795795,0.72,21.68038974,12.35259703,2,1,4,4,2,3.6729,2,0,0.2,3.47
3.036,83.960019,-9.8941,-0.381428973,0.75,10.47053043,0,1,1,1,2,1,0.3717,1,1,1,1.66
2.595,63.770438,-11.1858,0,0.8,0,0,0,0,0,0,2,2.0253,0,0,1,0.79
6.334,167.684814,-10.5338,-0.323528859,0.625,29.36046962,22.78728698,1,1,6,4,6,-1.306,0,0,1,2.53
0,63.824563,-11.8751,-0.47807075,0.5,10.21305479,11.93861058,0,1,2,2,2,-0.2882,0,0,0,1.3
18.311,106.580947,-10.8954,-0.744035769,0.75,4.552749874,29.55728603,0,0,0,3,1,-2.09688,1,0,0.142857143,1.35
6.364,224.645413,-10.5666,-0.192437046,0.904761905,0,0,1,1,0,1,7,5.73818,2,0,0.35,3.05
2.151,214.095942,-12.8548,0,0.441176471,0,0,0,0,0,0,3,4.2893,3,0,0,2.05
2.61,75.695663,-11.5474,-0.481230228,0.555555556,10.21305479,11.93861058,0,1,2,2,4,0.3259,0,0,0.6,2.37
0,57.033832,-12.9333,-0.154726243,0.666666667,0,18.23452154,3,1,0,3,0,0.2889,1,1,0,1.84
1.246,81.197245,-10.1625,-0.367590743,0.666666667,17.20100243,0,6,1,3,6,0,-1.3818,1,1,0,1.35
0,68.061568,-12.0857,-0.258986688,0.666666667,0,17.06923019,0,0,3,3,0,-2.2485,1,1,0,0.66
0,92.392489,-12.241,-0.186832365,0.666666667,0,0,3,1,0,3,0,1.8318,1,1,0,1.35
0,112.868438,-10.3513,-0.309268954,0.666666667,14.95193556,0,0,0,3,3,0,1.85937,1,1,0,-5.24
22.788,147.203562,-10.4262,-0.778623779,0.769230769,14.35187149,51.38453491,0,0,1,2,7,-1.1034,0,0,1,2.8
3.934,116.339509,-12.3289,-0.477638947,0.647058824,5.106527395,18.32190232,0,1,1,1,1,3.4224,1,0,0.222222222,2.64
5.968,101.169833,-10.0976,-0.326497495,0.7,5.733667477,0,2,1,1,2,1,1.01698,1,0,0.125,3.37
6.514,111.320303,-2.5398,-0.326497507,0.888888889,5.733667477,0,1,1,1,1,1,1.7633,1,0,0.142857143,1.6
4.5385,111.461217,-9.5581,-0.353808314,0.7,29.7103076,0,1,1,1,0,1,-1.9141,1,0,0.142857143,-0.48
