name,SMILES,MinPartialCharge,MaxAbsPartialCharge,StdPartialCharge,ChargeRange,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,FormalCharge,Complexity,LogP,MolarRefractivity,RingCount,AromaticRing,HeteroRing,FSP3
"3,5-morpholone(Morpholine-3,5-dione)",C1C(=O)NC(=O)CO1,-0.3618018522519596,0.3618018522519596,0.2497791246779588,0.6139305729874207,-0.3618018522519596,0.5,4.736862953800049,0.0,0,2,1,115.088,55.400000000000006,1,3,0,8,0,106.0,-1.3406000000000002,23.968699999999995,1,0,1,0.5
3-morpholone,C1COCC(=O)N1,-0.369813236012941,0.369813236012941,0.2324910338910475,0.6153923454208832,-0.369813236012941,0.4285714285714285,10.05365155780638,0.0,0,1,1,101.105,38.33,1,2,0,7,0,64.10749561002055,-0.8672,23.828699999999998,1,0,1,0.75
2-methylbenzimidazole,CC1=NC2=CC=CC=C2N1,-0.3422144008818056,0.3422144008818056,0.1333390098069411,0.445795732216509,-0.3422144008818056,0.7,4.9839785209472085,0.0,1,0,1,132.16599999999997,28.68,1,1,0,10,0,308.56579693179106,1.87132,40.830700000000014,2,2,1,0.125
4-aminopyridine,C1=CN=CC=C1N,-0.398638990921876,0.398638990921876,0.1599045482523193,0.4330754483109666,-0.398638990921876,0.5714285714285714,5.733667477162185,0.0,2,0,1,94.117,38.91,1,2,0,7,0,129.96566024533826,0.6638000000000001,28.6494,1,1,1,0.0
Lansoprazole,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,-0.4837237179983507,0.4837237179983507,0.187825955872984,0.9057904049723996,-0.4837237179983507,0.56,9.720841474747257,6.176298517443475,2,0,1,369.36800000000005,67.87,1,4,5,25,0,850.7874646671855,3.515220000000002,86.73010000000005,3,3,2,0.25
"1,8-Naphthyridine",C1=CC2=C(N=C1)N=CC=C2,-0.2366405676451022,0.2366405676451022,0.1140411337641992,0.3952218329653882,-0.2366405676451022,0.6,0.0,0.0,2,0,1,130.14999999999998,25.78,0,2,0,10,0,271.0151824090548,1.6298,39.53800000000002,2,2,2,0.0
hypoxanthine,C1=NC2=C(N1)C(=O)NC=N2,-0.338674824204365,0.338674824204365,0.2232822690306714,0.6149328229267219,-0.338674824204365,0.5,9.967957041894415,0.0,2,0,1,136.11399999999998,74.43,2,3,0,10,0,387.33055691677015,-0.3538,34.50939999999999,2,2,2,0.0
"3,5-Difluorophenylboronic acid",B(C1=CC(=CC(=C1)F)F)(O)O,-0.4231748562673401,0.4881286469063188,0.2495126656367853,0.9113035031736588,-0.4231748562673401,0.6363636363636364,10.048045150132006,7.118392334224363,0,0,0,157.91200000000003,40.46,2,2,1,11,0,225.96526492984663,-0.3553999999999999,36.18360000000001,1,1,0,0.0
adenine,C1=NC2=NC=NC(=C2N1)N,-0.381798268399509,0.381798268399509,0.2121412760906094,0.5640390043340267,-0.381798268399509,0.5,10.717645998109392,0.0,4,0,1,135.12999999999997,80.48,2,4,0,10,0,341.5657969317911,-0.0649,36.0961,2,2,2,0.0
cytosine,C1=C(NC(=O)N=C1)N,-0.3851034720328984,0.3851034720328984,0.2279830561410588,0.7310365571728099,-0.3851034720328984,0.625,5.733667477162185,5.689743398203474,2,0,1,111.104,71.77,2,3,0,8,0,217.47996149735152,-0.6478999999999999,29.270100000000003,1,1,1,0.0
thiourea ,C(=S)(N)N,-0.3765057148380912,0.3765057148380912,0.2293932329905256,0.5370020136377324,-0.3765057148380912,0.75,11.46733495432437,0.0,2,0,1,76.12400000000001,52.04,2,1,0,4,0,23.019550008653876,-0.8113000000000001,20.972800000000007,0,0,0,0.0
thioacetamide ,CC(=S)N,-0.3935519604926499,0.3935519604926499,0.1756396794073815,0.4630882054708386,-0.3935519604926499,0.75,5.733667477162185,0.0,1,0,1,75.13600000000001,26.02,1,1,0,4,0,23.019550008653876,0.2924000000000001,22.4594,0,0,0,0.5
dimethyl sulfide ,CSC,-0.1688616875245137,0.1688616875245137,0.0707971693630371,0.1501834756362481,0.0,1.0,0.0,0.0,0,0,0,62.137,0.0,0,1,0,3,0,0.0,0.9792,19.439,0,0,0,1.0
Malonamide,C(C(=O)N)C(=O)N,-0.3692314443218015,0.3692314443218015,0.2566281428238656,0.5955784917863767,-0.3692314443218015,0.5714285714285714,11.46733495432437,0.0,0,2,1,102.093,86.18,2,2,2,7,0,76.2114326716684,-1.6528999999999998,23.005800000000004,0,0,0,0.3333333333333333
3-Thiopheneboronic acid,B(C1=CSC=C1)(O)O,-0.423158785328188,0.4887755557279115,0.2692551384425012,0.9119343410560996,-0.423158785328188,0.875,10.048045150132006,7.118392334224363,0,0,0,127.96099999999996,40.46,2,3,1,8,0,135.0817365257523,-0.5721,34.1446,1,1,1,0.0
formamid,C(=O)N,-0.3722635698847092,0.3722635698847092,0.2525969569439895,0.5762943624421655,-0.3722635698847092,0.6666666666666666,5.733667477162185,0.0,0,1,1,45.041,43.09,1,1,0,3,0,7.509775004326936,-0.8985000000000001,10.2514,0,0,0,0.0
d benzylamine,C1=CC=C(C=C1)CN,-0.3264975066178272,0.3264975066178272,0.0964054614851671,0.3442582695645812,-0.3264975066178272,0.875,5.733667477162185,0.0,1,0,1,107.156,26.02,1,1,1,8,0,141.38429890473827,1.1453,34.33339999999999,1,1,0,0.1428571428571428
