Compound_CID,SMILES,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,coord_types,MolecularWeight,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,LogP,RingCount,HeteroRing,FSP3
5920400,C1=CC(=C(C=C1Cl)Cl)/C=C/C2=NC(=NC=C2)SC3=C(N=CC(=C3)C(F)(F)F)C(=O)N,-0.3642232314247274,0.6333333333333333,5.733667477162185,6.176298517443475,3.0,2.0,471.29100000000017,1.0,5.0,5.0,5.617700000000004,3.0,2.0,0.0526315789473684
44617418,C[C@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)C3=CC=NC=C3)[C@@H](C)CO)C)CN(C)CC4CC4,-0.4898865818110841,0.5853658536585366,29.696861368148088,0.0,2.0,2.0,566.743,2.0,7.0,8.0,4.471200000000004,4.0,2.0,0.59375
172663459,CC1=C(C(=O)N(C=C1)CC2=NC=C(N=C2)C)C(=O)NC3=CC=C(C=C3)OC(C)C,-0.4910196548888884,0.5862068965517241,14.620751205597736,0.0,3.0,2.0,392.4590000000001,1.0,5.0,6.0,3.3429400000000022,3.0,2.0,0.2727272727272727
172658965,CC1=C(C(=O)N(C=C1)CC2CCCO2)C(=O)NC3CCN(CC3)C(=O)C4=CC=CO4,-0.4591971212114813,0.5666666666666667,23.93781187350156,0.0,1.0,2.0,413.4740000000002,1.0,5.0,5.0,1.9633199999999995,4.0,4.0,0.5
139271092,CCN1C(=CC=N1)OC2=C(N=CC(=C2)Br)C(=O)N,-0.4367696472381975,0.5,10.470530430962237,0.0,3.0,2.0,311.13900000000007,1.0,4.0,4.0,1.9517,2.0,2.0,0.1818181818181818
45110131,C1=CC=C2C(=C1)C(=O)N(C2=O)C3=C(C=C(C=C3)NC(=O)C4=CC=CC=N4)Cl,-0.3206025718373035,0.6296296296296297,5.316788604006331,0.0,1.0,2.0,377.787,1.0,4.0,3.0,3.787900000000002,4.0,2.0,0.0
118757817,CC1=CC=C(O1)CNC(=O)C2=CN(C=C(C2=O)C(=O)N3CCCC3)C4CCCCC4,-0.4645030699490768,0.5666666666666667,19.20094891970151,0.0,1.0,2.0,411.5020000000004,1.0,4.0,5.0,3.4209200000000024,4.0,3.0,0.5217391304347826
26349498,CCNC(=O)C1=CN(C=C(C1=O)C(=O)N2CCN(CC2)CC3=CC=CS3)CC4=CC=CC=C4,-0.3521465255604897,0.5454545454545454,14.783797982648164,0.0,2.0,2.0,464.5910000000002,1.0,5.0,7.0,2.6658000000000017,4.0,3.0,0.32
129621531,CC1=CN=C(C=C1)NCCCNC(=O)C2=CC(=O)C(=CN2)OC,-0.4912631649544737,0.5217391304347826,20.35441868275992,0.0,2.0,2.0,316.361,3.0,5.0,7.0,1.31892,2.0,2.0,0.3125
53190489,C1CC(C1)C2=NN3C=CC=C(C3=N2)NC(=O)C4=CC=CC=N4,-0.3174070114754147,0.6363636363636364,5.316788604006331,0.0,4.0,2.0,293.33000000000004,1.0,4.0,3.0,2.644100000000001,4.0,3.0,0.25
166619254,CN(C)C(=O)C1=NC(=CC=C1)N2CC3(C2)CC4=CC=CC=C4OC3,-0.4925738925947702,0.5833333333333334,14.536682415501003,0.0,2.0,2.0,323.3960000000001,0.0,4.0,2.0,2.2249,4.0,3.0,0.3684210526315789
717037,CCCC1=NN=C(S1)NC(=O)C2=CC=CC=N2,-0.2950364711276346,0.6470588235294118,0.0,0.0,3.0,2.0,248.31100000000004,1.0,5.0,4.0,2.1379,2.0,2.0,0.2727272727272727
3161181,CC1=C(C=C(C=C1)C(=O)NCCNC(=O)C2=CC=CC=N2)C,-0.3502689726277505,0.6818181818181818,10.633577208012662,0.0,1.0,2.0,297.358,2.0,3.0,5.0,1.85824,2.0,1.0,0.2352941176470588
44486810,C[C@@H]1CN(C(=O)C2=C(C(=CC=C2)NC(=O)C3=CC=NC=C3)O[C@H]1CN(C)C(=O)NC4CCCCC4)[C@H](C)CO,-0.4851989423441327,0.5641025641025641,30.27678701835437,6.031114512338072,1.0,2.0,537.6610000000004,3.0,6.0,7.0,3.5281000000000025,4.0,2.0,0.5172413793103449
172665231,CC1=C(C(=O)N(C=C1)CC2CCCNC2)C(=O)NC3=NN=C(S3)CC4=CC=CC=C4,-0.3163883637319214,0.7333333333333333,9.883888251797686,0.0,4.0,2.0,423.5420000000001,2.0,6.0,6.0,2.850920000000001,4.0,3.0,0.3636363636363636
53150986,C1CN(CCC1CCOC2=CC=NC=C2)C(=O)NC3=CC=CC(=C3)C#N,-0.4934733470049894,0.6153846153846154,14.953561288656855,6.031114512338072,2.0,2.0,350.4220000000001,1.0,4.0,5.0,3.666280000000002,3.0,2.0,0.35
91916512,CNC(=O)N1CCC(CC1)C2CCN(C2)S(=O)(=O)CC3=CC=CC=C3,-0.3410598924476318,0.68,10.216698334856808,6.031114512338072,0.0,1.0,365.4990000000001,1.0,3.0,4.0,1.8897000000000004,3.0,2.0,0.6111111111111112
172674484,CC1=C(C(=O)N(C=C1)CC2CCCNC2)C(=O)NCCCN3C=C(C=N3)Cl,-0.3517864770862409,0.6296296296296297,15.200676855804016,0.0,4.0,2.0,391.9030000000001,2.0,4.0,7.0,1.82632,3.0,3.0,0.5263157894736842
22344235,CC1(CC2=CC(=C3C(=C2C(=N1)C4=CC=C(C=C4)NC(=O)C5=CN=CC=C5)CC(O3)(C)C)OC)C,-0.4928464237881215,0.5588235294117647,14.790514511606428,0.0,2.0,2.0,455.5580000000003,1.0,5.0,4.0,5.228100000000006,5.0,3.0,0.3214285714285714
175644153,CC1=C(C(=O)N(C=C1)C2CCC(CC2)O)C(=O)NC3=NC4=C(C=CC(=N4)C)C=C3,-0.3931285867391547,0.6551724137931034,14.99041564663839,0.0,3.0,2.0,392.45900000000006,2.0,5.0,3.0,3.1366400000000008,4.0,3.0,0.3636363636363636
86590448,CC1=CC(=NC=C1)C(=O)N(C)OC,-0.2742334195948306,0.6153846153846154,0.0,0.0,1.0,2.0,180.207,0.0,3.0,2.0,1.02342,1.0,1.0,0.3333333333333333
118756454,CC1=C(C=C(C=C1)Cl)N2CCN(CC2)C(=O)C3=CN(C=C(C3=O)C(=O)NC4CC4)C5CCCCC5,-0.36772456295932,0.5714285714285714,19.68370771349864,0.0,2.0,2.0,497.0390000000003,1.0,4.0,5.0,4.169920000000003,5.0,2.0,0.5185185185185185
28432081,CCNC(=O)C1=CN(C=C(C1=O)C(=O)N2CCN(CC2)CC3=CC=CC=C3OC)CC4=CC=CC=C4,-0.4964259303724422,0.5277777777777778,19.520660936448213,0.0,2.0,2.0,488.58800000000025,1.0,5.0,8.0,2.6129000000000016,4.0,2.0,0.3214285714285714
157017739,CC(C)C1=C(C=CC(=O)N1)C(=O)NC(C)CCC2=CC=CC=C2,-0.3495192662575151,0.7391304347826086,10.30076712495354,0.0,0.0,1.0,312.41299999999995,2.0,2.0,6.0,3.2494000000000023,2.0,1.0,0.3684210526315789
168460905,C1C[C@H]2[C@@H]3C[C@@H](CN(C3)C(=O)C4CCC4)[C@@H](N2C(=O)C1)CNC(=O)C5=CC=CC=N5,-0.3486203119871672,0.6,15.116608065707286,0.0,1.0,2.0,410.51800000000014,1.0,4.0,4.0,1.8394999999999992,5.0,4.0,0.6521739130434783
13209519,CC1=CC(=NC=C1)C(=O)NC2=NNN=N2,-0.2863920310572564,0.7333333333333333,0.0,0.0,4.0,2.0,204.193,2.0,5.0,2.0,0.1554199999999997,2.0,2.0,0.125
172666041,CC1=C(C(=O)N(C=C1)C2=CC3=C(C=C2)OCO3)C(=O)N[C@@H]4C[C@@H]5CC[C@H]4O5,-0.4535930258484499,0.5555555555555556,19.52737746540648,0.0,1.0,2.0,368.3890000000001,1.0,5.0,3.0,1.92432,5.0,4.0,0.4
172666452,CC1=C(C(=O)N(C=C1)CCN2CCOCC2)C(=O)NCC3(CC3)CN4C(=CC(=N4)C)C,-0.3787927179816082,0.5161290322580645,14.620751205597736,0.0,4.0,2.0,427.5490000000002,1.0,5.0,8.0,1.51246,4.0,3.0,0.6086956521739131
16110101,CCN(CC)C(=O)C1=C(C=CC=N1)C2=CC=C(C=C2)C#N,-0.3378511529185949,0.6190476190476191,4.899909730850478,0.0,2.0,2.0,279.343,0.0,3.0,4.0,3.1022800000000013,2.0,1.0,0.2352941176470588
