Compound_CID,SMILES,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,coord_types,MolecularWeight,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,LogP,RingCount,HeteroRing,FSP3
108161685,C1CC2C(C1)OCCN2C3=C(C=C(C=N3)N)C(=O)O,-0.47753966494974,0.5263157894736842,20.47696755665342,5.969305287951849,3.0,2.0,263.297,2.0,5.0,2.0,1.1197,3.0,2.0,0.5384615384615384
21955059,C1=CC(=NC=C1N)N(CCO)CCO,-0.3974796361618037,0.5,20.846631997694075,0.0,3.0,1.0,197.238,3.0,5.0,5.0,-0.5452000000000001,1.0,1.0,0.4444444444444444
81440047,C1CCC2CN(CCC2C1)C3=C(C=C(C=N3)C(=O)O)N,-0.47759768757345,0.65,15.740104602853368,5.969305287951849,3.0,2.0,275.35200000000003,2.0,4.0,2.0,2.3785000000000003,3.0,2.0,0.6
114195189,C1CC2CCCN(C2C1)C3=CN=C(C=C3C(=O)N)N,-0.3836797382995892,0.631578947368421,16.36724468517485,0.0,3.0,2.0,260.341,2.0,4.0,2.0,1.5316,3.0,2.0,0.5714285714285714
81318034,CC(C)CCNC(=O)COC(=O)C1=NC=C(C=C1)N,-0.4508634322410852,0.631578947368421,15.787319034968563,5.969305287951849,2.0,2.0,265.313,2.0,5.0,6.0,0.9828999999999996,1.0,1.0,0.4615384615384615
122242476,CC(C#CC1=NC=C(C=C1)N)O,-0.397480623278571,0.6666666666666666,10.84019487200289,0.0,2.0,1.0,162.19199999999998,2.0,3.0,0.0,0.3961,1.0,1.0,0.2222222222222222
18506856,C1=CC(=NC=C1C#CCO)N,-0.3837014937225628,0.6363636363636364,10.84019487200289,0.0,2.0,1.0,148.165,2.0,3.0,0.0,0.0076000000000001,1.0,1.0,0.125
62183381,C1CN(CC(=O)N1)CC2=CN=C(C=C2)N,-0.3837024962492997,0.5333333333333333,11.050456081168516,0.0,3.0,2.0,206.249,2.0,4.0,2.0,-0.4043999999999998,2.0,2.0,0.4
91778318,C1CCC(CC1)(CC(=O)O)NC(=O)C2=CN=C(C=C2)N,-0.4811655806040714,0.65,16.156983476009223,5.969305287951849,2.0,2.0,277.324,3.0,4.0,4.0,1.5712,2.0,1.0,0.5
11536733,CN1CCCN(CC1)C2=NC(=CN=C2N)C3=CC(=NC=C3)N,-0.3836837779698813,0.5454545454545454,21.267154416025328,0.0,7.0,1.0,299.382,2.0,7.0,2.0,0.8448999999999995,3.0,3.0,0.4
81691640,CCC(CNC(=O)C1=NC=C(C=C1)N)C(=O)O,-0.4809775441692522,0.5882352941176471,16.156983476009223,5.969305287951849,2.0,2.0,237.259,3.0,4.0,5.0,0.5043999999999997,1.0,1.0,0.3636363636363636
81694759,CCCC(CCC(=O)O)CCNC(=O)C1=NC=C(C=C1)N,-0.481230262072748,0.6666666666666666,16.156983476009223,5.969305287951849,2.0,2.0,293.367,3.0,4.0,9.0,2.0648,1.0,1.0,0.5333333333333333
28318645,C1CN(CCC1C(=O)N)C2=C(C=NC=C2)N,-0.3957966564598433,0.5,16.36724468517485,0.0,3.0,2.0,220.276,2.0,4.0,2.0,0.3655000000000001,2.0,2.0,0.4545454545454545
