Compound_CID,SMILES,MinPartialCharge,MaxAbsPartialCharge,StdPartialCharge,ChargeRange,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,FormalCharge,Complexity,LogP,MolarRefractivity,RingCount,AromaticRing,HeteroRing,FSP3,rdkit_ok,fail_reason
3594444,CCOC(=O)C1=CC=CC(=N1)C(=O)O,-0.4765091183433008,0.4765091183433008,0.2519177436200621,0.8329447132847412,-0.4765091183433008,0.6428571428571429,9.843390348640757,11.9386105759037,1.0,2.0,2.0,195.174,76.49,1.0,4.0,3.0,14.0,0.0,344.8108724292341,0.9565,47.15280000000001,1.0,1.0,1.0,0.2222222222222222,1,
155574891,C[Si](C)(C)C#CC1=C(N=CC(=C1)C#N)C(=O)O,-0.476476162461971,0.476476162461971,0.1852700624082119,0.8317704203812414,-0.476476162461971,0.5882352941176471,5.106527394840706,5.969305287951849,2.0,1.0,2.0,244.326,73.98,1.0,3.0,1.0,17.0,0.0,534.1168719334518,1.88038,66.13530000000002,1.0,1.0,1.0,0.25,1,
89963589,COC1=CC(=CC(=C1)CCC2=CN=C3C(=N2)C=C(N3)C4=CC(=NC=C4)C(=O)O)OC,-0.4966141973506154,0.4966141973506154,0.2025349694714744,0.8506138398375434,-0.4966141973506154,0.5333333333333333,19.564231823388013,5.969305287951849,3.0,1.0,2.0,404.42600000000016,110.22,2.0,6.0,7.0,30.0,0.0,1163.6204716776035,3.520500000000001,111.03300000000004,4.0,4.0,3.0,0.1818181818181818,1,
106903219,C1=CC=C2C=C(C=CC2=C1)OCC3=NC(=CC=C3)C(=O)O,-0.4872837274820185,0.4872837274820185,0.1869436164917352,0.8412747865916651,-0.4872837274820185,0.7619047619047619,9.843390348640757,5.969305287951849,1.0,1.0,2.0,279.295,59.42,1.0,3.0,4.0,21.0,0.0,780.6551193533901,3.5120000000000022,79.47630000000005,3.0,3.0,1.0,0.0588235294117647,1,
168309405,CC1=CC(=NN1C2=CC=CC(=N2)C(=O)O)C.CC1=CC(=NN1C2=CC=CC(=N2)C(=O)[O-])C.CC1=CC(=NN1C2=CC=CC(=N2)C(=O)[O-])C.C(=[N-])=S.C(=[N-])=S.[OH3+].[Ni+2].[Ni+2],-0.7527037511552483,2.0,0.4488606198664442,2.752703751155249,-0.7527037511552483,0.7017543859649122,41.20341560013017,38.95215295365251,11.0,3.0,2.0,902.247,287.29,1.0,13.0,6.0,57.0,1.0,1994.6965764522931,2.4679200000000026,204.90479999999965,6.0,6.0,6.0,0.1714285714285714,1,
20463131,C1=CC=C(C=C1)COC(=O)CCCCC2=CN=C(C=C2)C(=O)O,-0.4765094695401541,0.4765094695401541,0.191613694299867,0.8304853399125729,-0.4765094695401541,0.7391304347826086,9.843390348640757,11.9386105759037,1.0,2.0,2.0,313.35299999999995,76.49,1.0,4.0,8.0,23.0,0.0,616.8477033925803,3.236000000000001,84.98930000000006,2.0,2.0,1.0,0.2777777777777778,1,
13726257,C1=CC=C2C(=C1)N=C(S2)C3=NC(=CC=C3)C(=O)O,-0.4765091366591714,0.4765091366591714,0.1800610388731696,0.8305144720705291,-0.4765091366591714,0.6666666666666666,5.106527394840706,5.969305287951849,2.0,1.0,2.0,256.286,63.08,1.0,4.0,2.0,18.0,0.0,680.4913318770282,3.056500000000001,69.81030000000003,3.0,3.0,2.0,0.0,1,
24950844,C1=CC=C(C=C1)CCCCCCC(=O)C2=NN=C(O2)C3=NC(=CC=C3)C(=O)O,-0.4765091259545279,0.4765091259545279,0.186180509909676,0.8305163938626698,-0.4765091259545279,0.75,9.523678331894054,5.969305287951849,3.0,2.0,2.0,379.41600000000005,106.18,1.0,6.0,10.0,28.0,0.0,907.9760736306466,4.205700000000003,102.04980000000003,3.0,3.0,2.0,0.2857142857142857,1,
22748770,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C3=CN=C(C=C3)C(=O)O)Cl,-0.4765094695159859,0.4765094695159859,0.1437366826372473,0.8304853489978514,-0.4765094695159859,0.75,5.106527394840706,5.969305287951849,1.0,1.0,2.0,358.22400000000005,50.19,1.0,2.0,4.0,24.0,0.0,773.2166049876514,5.266800000000003,95.04530000000004,3.0,3.0,1.0,0.0526315789473684,1,
21992579,C1CC2=C(C(=NN2C1)C3=NC(=CC=C3)C(=O)O)C4=CC=NC5=CC=CC=C45,-0.4765091401204399,0.4765091401204399,0.1568299901714802,0.8305138552233795,-0.4765091401204399,0.6296296296296297,5.106527394840706,5.969305287951849,4.0,1.0,2.0,356.38500000000005,80.9,1.0,4.0,3.0,27.0,0.0,1164.5953837005584,3.804700000000002,101.47530000000002,5.0,4.0,4.0,0.1428571428571428,1,
59200394,CC1=CC(=NC=C1)NC2=NC=C(S2)SC3=CC(=NC=C3)C(=O)O,-0.4765089737532799,0.4765089737532799,0.1796082433182988,0.8305271660230864,-0.4765089737532799,0.6086956521739131,10.423315998847038,5.969305287951849,4.0,1.0,2.0,344.4210000000001,88.00000000000001,2.0,7.0,5.0,23.0,0.0,817.3145295837386,3.834520000000002,89.69000000000004,3.0,3.0,3.0,0.0666666666666666,1,
58877151,CCOC(C1=NC(=CC=C1)C(=O)O)OCC,-0.4765092976497223,0.4765092976497223,0.2147548018749424,0.8305016772647207,-0.4765092976497223,0.625,14.580253302440804,5.969305287951849,1.0,1.0,2.0,225.244,68.65,1.0,4.0,6.0,16.0,0.0,329.646476403863,1.8514,57.18930000000003,1.0,1.0,1.0,0.4545454545454545,1,
167511681,CC(C(=O)C1=CC(=NC=C1)C(=O)O)(F)F,-0.4765091926211386,0.4765091926211386,0.228574909208336,0.8305097407357278,-0.4765091926211386,0.5333333333333333,5.106527394840706,11.891834456046425,1.0,2.0,2.0,215.155,67.26,1.0,3.0,3.0,15.0,0.0,388.74449179035855,1.6177,46.1478,1.0,1.0,1.0,0.2222222222222222,1,
58838281,CC1=CC=C(N1C2=CC=CC(=N2)C(=O)O)C3=C(C=CC(=C3)Br)O,-0.5072508718274436,0.5072508718274436,0.1891739416510319,0.8613225304664771,-0.5072508718274436,0.6521739130434783,10.213054789681411,5.969305287951849,2.0,1.0,2.0,373.206,75.35000000000001,2.0,3.0,3.0,23.0,0.0,874.8040105841987,4.014020000000003,90.06110000000001,3.0,3.0,2.0,0.0588235294117647,1,
57475876,C1CC1C#CC2=CN=C(C=C2)C(=O)O,-0.4765094625273149,0.4765094625273149,0.1864245819718899,0.8304865925220879,-0.4765094625273149,0.6428571428571429,5.106527394840706,5.969305287951849,1.0,1.0,2.0,187.198,50.19,1.0,2.0,1.0,14.0,0.0,393.90471776467217,1.5413,50.79830000000002,2.0,1.0,1.0,0.2727272727272727,1,
59585223,C1=CN=C(C=C1C(=O)NCCN)C(=O)O,-0.4765091855947839,0.4765091855947839,0.2290575632197076,0.8305109811297908,-0.4765091855947839,0.5333333333333333,16.156983476009223,5.969305287951849,2.0,2.0,2.0,209.205,105.31000000000002,3.0,4.0,4.0,15.0,0.0,358.055989195052,-0.5317000000000001,52.58390000000001,1.0,1.0,1.0,0.2222222222222222,1,
65968196,C1CC(=O)NC(=O)C1NC(=O)C2=CN=C(C=C2)C(=O)O,-0.4765094670378187,0.4765094670378187,0.2306165828697897,0.8304858114902995,-0.4765094670378187,0.55,10.423315998847038,5.969305287951849,1.0,4.0,2.0,277.236,125.46000000000002,3.0,5.0,3.0,20.0,0.0,554.2060362581873,-0.6851999999999994,64.83420000000001,2.0,1.0,2.0,0.25,1,
52951348,C1[C@H](CC2=C1C=CC(=C2)OC3=CC=CC=C3)C(=O)C4=NC=C(O4)C5=NC(=CC=C5)C(=O)O,-0.4765091330942974,0.4765091330942974,0.1928200223370069,0.8305151083391383,-0.4765091330942974,0.6875,14.2605412856941,5.969305287951849,2.0,2.0,2.0,426.4280000000001,102.52,1.0,6.0,6.0,32.0,0.0,1282.635076215329,4.824800000000004,114.87980000000005,5.0,4.0,2.0,0.12,1,
52952696,C1CC2=C(C[C@H]1C(=O)C3=NC=C(O3)C4=NC(=CC=C4)C(=O)O)C=CC(=C2)C5=CC=CC=C5,-0.4765091330942974,0.4765091330942974,0.1730962014403901,0.8305151083391383,-0.4765091330942974,0.75,9.523678331894054,5.969305287951849,2.0,2.0,2.0,424.4560000000001,93.29,1.0,5.0,5.0,32.0,0.0,1282.635076215329,5.089600000000004,118.41679999999998,5.0,4.0,2.0,0.1538461538461538,1,
62254277,C1=CC(=NC(=C1)NC2=CN=CC=C2)C(=O)O,-0.476508344342428,0.476508344342428,0.2003900340471269,0.830579596479619,-0.476508344342428,0.625,10.423315998847038,5.969305287951849,3.0,1.0,2.0,215.212,75.11,2.0,4.0,3.0,16.0,0.0,480.401313992762,1.9184,58.716000000000015,2.0,2.0,2.0,0.0,1,
59607919,C1=CC=C(C=C1)C2=CC=C(C=C2)C[C@H](CC(=O)O)NC(=O)C3=CC(=NC=C3)C(=O)O,-0.481173474747995,0.481173474747995,0.1900824840547108,0.8351752702876089,-0.481173474747995,0.7333333333333333,15.529843393687743,11.9386105759037,1.0,3.0,2.0,404.42200000000014,116.59000000000002,3.0,4.0,8.0,30.0,0.0,1019.1481682132052,3.2626,110.28530000000003,3.0,3.0,1.0,0.1304347826086956,1,
58267987,C1COCCN1CC2=NC(=CC=C2)C(=O)O,-0.4765093145705068,0.4765093145705068,0.2059919006852867,0.8304986508042771,-0.4765093145705068,0.5,9.843390348640757,5.969305287951849,2.0,1.0,2.0,222.24400000000003,62.66,1.0,4.0,3.0,16.0,0.0,356.055989195052,0.6120000000000003,57.29230000000003,2.0,1.0,2.0,0.4545454545454545,1,
90319498,C1=CN=C(C=C1N2C=CC(=N2)I)C(=O)O,-0.4765085040087972,0.4765085040087972,0.1955426336202382,0.8305664780078124,-0.4765085040087972,0.6,5.106527394840706,5.969305287951849,3.0,1.0,2.0,315.07000000000005,68.01,1.0,3.0,2.0,15.0,0.0,486.2443470198531,1.5701,61.03530000000001,2.0,2.0,2.0,0.0,1,
168436190,CC(C)(C)OC(=O)CNC1=CN=C(C=C1)C(=O)O,-0.4765094553179773,0.4765094553179773,0.234075096373296,0.8304878575232371,-0.4765094553179773,0.6111111111111112,15.160178952647083,11.9386105759037,2.0,2.0,2.0,252.27,88.52,2.0,5.0,4.0,18.0,0.0,412.3466868679965,1.5334,65.53100000000003,1.0,1.0,1.0,0.4166666666666667,1,
