name,SMILES,MinPartialCharge,StdPartialCharge,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,FormalCharge,LogP,RingCount,HeteroRing,FSP3
trimethylolpropane triacrylate,CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,-0.4616743059623329,0.2352086415742292,-0.4616743059623329,0.5238095238095238,14.210588861400147,17.90791586385555,0,3,1,296.319,78.9,0,6,10,0,1.5704,0,0,0.4
2-adamantanone,C1C2CC3CC1CC(C2)C3=O,-0.2990879861179407,0.0980904548784396,-0.2990879861179407,0.7272727272727273,0.0,0.0,0,1,1,150.22099999999998,17.07,0,1,0,0,2.0116,4,0,0.9
1-adamantane carboxylic acid,C1C2CC3CC1CC(C2)(C3)C(=O)O,-0.4808213216267683,0.168734007018557,-0.4808213216267683,0.8461538461538461,5.106527394840706,5.969305287951849,0,1,1,180.247,37.3,1,1,1,0,2.2874,4,0,0.9090909090909092
1-adamantaneacetic acid,C1C2CC3CC1CC(C2)(C3)CC(=O)O,-0.4812151716584655,0.1609786624100133,-0.4812151716584655,0.8571428571428571,5.106527394840706,5.969305287951849,0,1,1,194.274,37.3,1,1,2,0,2.6775,4,0,0.9166666666666666
"2,2-difluoropropanediamide",C(=O)(C(C(=O)N)(F)F)N,-0.3639439248285856,0.2921058725944391,-0.3639439248285856,0.6666666666666666,11.46733495432437,5.922529168094576,0,2,1,138.073,86.17999999999999,2,2,2,0,-1.4077000000000002,0,0,0.3333333333333333
triphenylphosphine oxide,C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3,-0.3086347994521468,0.0810141990461761,-0.3086347994521468,0.8,4.565048284931329,0.0,0,0,0,278.291,17.07,0,1,3,0,3.3260000000000014,3,0,0.0
tetraisopropyl methylenediphosphonate,CC(C)OP(=O)(CP(=O)(OC(C)C)OC(C)C)OC(C)C,-0.3053644289549855,0.1887679157818279,-0.3053644289549855,0.6666666666666666,18.09498864684727,15.19152465357577,0,0,0,344.3250000000001,71.06000000000002,0,6,10,0,5.0301000000000045,0,0,1.0
tris(pentafluorophenyl) phosphine,C1(=C(C(=C(C(=C1F)F)P(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F)F)F)F,-0.2027889090602101,0.1842398436310723,0.0,0.4411764705882353,0.0,0.0,0,0,0,532.142,0.0,0,0,3,0,5.531300000000001,3,0,0.0
"1,2,4‐triazole",C1=NC=NN1,-0.2661367467416017,0.1705531632592413,-0.2661367467416017,0.6,0.0,0.0,2,0,1,69.067,41.57,1,2,0,0,-0.1953,1,1,0.0
N-(4-bromophenyl)thiourea,C1=CC(=CC=C1NC(=S)N)Br,-0.3760476532288073,0.1487896533741439,-0.3760476532288073,0.7272727272727273,11.050456081168516,0.0,2,0,1,231.118,38.05,2,1,1,0,2.1046,1,0,0.0
morpholine,C1COCCN1,-0.3788125135797184,0.1829802791669597,-0.3788125135797184,0.3333333333333333,10.05365155780638,0.0,1,0,1,87.122,21.26,1,2,0,0,-0.3938000000000001,1,1,1.0
"3,5-morpholone(Morpholine-3,5-dione)",C1C(=O)NC(=O)CO1,-0.3618018522519596,0.2497791246779588,-0.3618018522519596,0.5,4.736862953800049,0.0,0,2,1,115.088,55.400000000000006,1,3,0,0,-1.3406000000000002,1,1,0.5
3-morpholone,C1COCC(=O)N1,-0.369813236012941,0.2324910338910475,-0.369813236012941,0.4285714285714285,10.05365155780638,0.0,0,1,1,101.105,38.33,1,2,0,0,-0.8672,1,1,0.75
2-methylbenzimidazole,CC1=NC2=CC=CC=C2N1,-0.3422144008818056,0.1333390098069411,-0.3422144008818056,0.7,4.9839785209472085,0.0,1,0,1,132.16599999999997,28.68,1,1,0,0,1.87132,2,1,0.125
4-aminopyridine,C1=CN=CC=C1N,-0.398638990921876,0.1599045482523193,-0.398638990921876,0.5714285714285714,5.733667477162185,0.0,2,0,1,94.117,38.91,1,2,0,0,0.6638000000000001,1,1,0.0
Lansoprazole,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,-0.4837237179983507,0.187825955872984,-0.4837237179983507,0.56,9.720841474747257,6.176298517443475,2,0,1,369.36800000000005,67.87,1,4,5,0,3.515220000000002,3,2,0.25
"1,8-Naphthyridine",C1=CC2=C(N=C1)N=CC=C2,-0.2366405676451022,0.1140411337641992,-0.2366405676451022,0.6,0.0,0.0,2,0,1,130.14999999999998,25.78,0,2,0,0,1.6298,2,2,0.0
hypoxanthine,C1=NC2=C(N1)C(=O)NC=N2,-0.338674824204365,0.2232822690306714,-0.338674824204365,0.5,9.967957041894415,0.0,2,0,1,136.11399999999998,74.43,2,3,0,0,-0.3538,2,2,0.0
"3,5-Difluorophenylboronic acid",B(C1=CC(=CC(=C1)F)F)(O)O,-0.4231748562673401,0.2495126656367853,-0.4231748562673401,0.6363636363636364,10.048045150132006,7.118392334224363,0,0,0,157.91200000000003,40.46,2,2,1,0,-0.3553999999999999,1,0,0.0
adenine,C1=NC2=NC=NC(=C2N1)N,-0.381798268399509,0.2121412760906094,-0.381798268399509,0.5,10.717645998109392,0.0,4,0,1,135.12999999999997,80.48,2,4,0,0,-0.0649,2,2,0.0
cytosine,C1=C(NC(=O)N=C1)N,-0.3851034720328984,0.2279830561410588,-0.3851034720328984,0.625,5.733667477162185,5.689743398203474,2,0,1,111.104,71.77,2,3,0,0,-0.6478999999999999,1,1,0.0
thiourea ,C(=S)(N)N,-0.3765057148380912,0.2293932329905256,-0.3765057148380912,0.75,11.46733495432437,0.0,2,0,1,76.12400000000001,52.04,2,1,0,0,-0.8113000000000001,0,0,0.0
thioacetamide ,CC(=S)N,-0.3935519604926499,0.1756396794073815,-0.3935519604926499,0.75,5.733667477162185,0.0,1,0,1,75.13600000000001,26.02,1,1,0,0,0.2924000000000001,0,0,0.5
dimethyl sulfide ,CSC,-0.1688616875245137,0.0707971693630371,0.0,1.0,0.0,0.0,0,0,0,62.137,0.0,0,1,0,0,0.9792,0,0,1.0
Malonamide,C(C(=O)N)C(=O)N,-0.3692314443218015,0.2566281428238656,-0.3692314443218015,0.5714285714285714,11.46733495432437,0.0,0,2,1,102.093,86.18,2,2,2,0,-1.6528999999999998,0,0,0.3333333333333333
3-Thiopheneboronic acid,B(C1=CSC=C1)(O)O,-0.423158785328188,0.2692551384425012,-0.423158785328188,0.875,10.048045150132006,7.118392334224363,0,0,0,127.96099999999996,40.46,2,3,1,0,-0.5721,1,1,0.0
formamid,C(=O)N,-0.3722635698847092,0.2525969569439895,-0.3722635698847092,0.6666666666666666,5.733667477162185,0.0,0,1,1,45.041,43.09,1,1,0,0,-0.8985000000000001,0,0,0.0
d benzylamine,C1=CC=C(C=C1)CN,-0.3264975066178272,0.0964054614851671,-0.3264975066178272,0.875,5.733667477162185,0.0,1,0,1,107.156,26.02,1,1,1,0,1.1453,1,0,0.1428571428571428
benzamide ,C1=CC=C(C=C1)C(=O)N,-0.3655995116322135,0.1637729131597803,-0.3655995116322135,0.7777777777777778,5.733667477162185,0.0,0,1,1,121.13899999999998,43.09,1,1,1,0,0.7855000000000001,1,0,0.0
4-fluorobenzamide,C1=CC(=CC=C1C(=O)N)F,-0.3655994882801228,0.1731587113575481,-0.3655994882801228,0.7,5.733667477162185,0.0,0,1,1,139.129,43.09,1,1,1,0,0.9246,1,0,0.0
4-chlorobenzamide,C1=CC(=CC=C1C(=O)N)Cl,-0.3655994999205521,0.159263698944571,-0.3655994999205521,0.7,5.733667477162185,0.0,0,1,1,155.584,43.09,1,1,1,0,1.4388999999999998,1,0,0.0
"3,4-Bis(4-bromophenyl)cyclobut-3-ene-1,2-dione",C1=CC(=CC=C1C2=C(C(=O)C2=O)C3=CC=C(C=C3)Br)Br,-0.2848208055200817,0.1203863827649847,-0.2848208055200817,0.7,0.0,0.0,0,0,0,392.046,34.14,0,2,2,0,4.141600000000002,3,0,0.0
"2,7-dioctyl[1]benzothieno[3,2-b][1]benzothiophene",CCCCCCCCC1=CC2=C(C=C1)C3=C(S2)C4=C(S3)C=C(C=C4)CCCCCCCC,-0.133601118126316,0.0421339252058392,0.0,0.8125,0.0,0.0,0,0,0,464.7840000000005,0.0,0,2,14,0,11.075199999999986,4,2,0.5333333333333333
"4,4′-carbonyldiphthalic anhydride",C1=CC2=C(C=C1C(=O)C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O,-0.3856566919980714,0.2206577411423318,-0.3856566919980714,0.5416666666666666,9.473725907600098,23.8772211518074,0,5,1,322.22800000000007,103.81,0,7,2,0,1.5388000000000002,4,2,0.0
"4,4′(Hexafluoroisopropylidene)diphthalic anhydride",C1=CC2=C(C=C1C(C3=CC4=C(C=C3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)C(=O)OC2=O,-0.3856568415381616,0.2275494444751602,-0.3856568415381616,0.6451612903225806,9.473725907600098,36.229818186694345,0,4,1,444.239,86.74000000000001,0,6,2,0,3.7185000000000006,4,2,0.1578947368421052
barbituric acid,C1C(=O)NC(=O)NC1=O,-0.2773161608458374,0.2526838649547465,-0.2773161608458374,0.5555555555555556,0.0,6.031114512338072,0,4,1,128.087,75.27000000000001,2,3,0,0,-1.2575,1,1,0.25
propanedioic acid,C(C(=O)O)C(=O)O,-0.4808059082153091,0.324747620888756,-0.4808059082153091,0.5714285714285714,10.213054789681411,11.9386105759037,0,2,1,104.061,74.6,2,2,2,0,-0.4543,0,0,0.3333333333333333
urea,C(=O)(N)N,-0.3518462395056391,0.2745950255137812,-0.3518462395056391,0.75,11.46733495432437,6.031114512338072,0,2,1,60.05599999999999,69.11,2,1,0,0,-0.9762,0,0,0.0
phenylethylammonium iodidePEAI,C1=CC=C(C=C1)CC[NH3+].[I-],-1.0,0.2995351182266932,-0.3572850743247592,0.8,29.710307602424244,0.0,1,0,1,249.095,27.64,1,0,2,0,-2.5249999999999977,1,0,0.25
phenylbutylammonium iodidePBAI,C1=CC=C(C=C1)CCCC[NH3+].[I-],-1.0,0.2758224179915144,-0.3575607018231983,0.9166666666666666,29.710307602424244,0.0,1,0,1,277.149,27.64,1,0,4,0,-1.744799999999997,1,0,0.4
Phenylpropylammonium IodidePPAI,C1=CC=C(C=C1)CCCN.I,-0.3304617924320307,0.0832827852185703,-0.3304617924320307,1.0,5.733667477162185,0.0,1,0,1,263.122,26.02,1,1,3,0,2.1959,1,0,0.3333333333333333
